State,year17,year18,year19,year20,year21,year22
Chandigarh,7.87,13.51,13.33,10.16,14.19,9.75
NCTofDelhi,13.41,10.83,136.3,189.99,225.84,201.69
Haryana,71.5,72.47,125.14,162.95,572.85,460.67
HimachalPradesh,0,0,11.66,36.52,44.29,50.69
JammuandKashmir,0,0,0,9.42,1.71,0
Punjab,1432.07,1492.9,1358.22,1356.48,1473.41,2165.74
Rajasthan,3925.33,5109.35,7776.56,10384.24,17219.88,28104.14
UttarPradesh,680.71,1235.08,1447.05,1856.19,2900.41,2945.98
Uttarakhand,291.08,318.29,341.51,329.64,301.6,276.5
Chhattisgarh,135.82,335.15,326.42,370.8,436.56,482.98
Gujarat,2048.4,2410.32,3631.86,4633.81,6774.5,8215.84
MadhyaPradesh,2252.07,2982.29,3496.23,4202.03,4006.7,3155.93
Maharashtra,1100.67,2206.62,2372.68,3089.46,3187.18,3441.24
DadraandNagarHaveli,23.77,24.69,28.02,41.47,84.51,24.46
Goa,0,0,0.82,1.46,15.93,11.84
AndhraPradesh,4070.17,4965.96,5855.11,6956.1,7832.51,6601.74
Telangana,4029.43,6312.26,6263.92,6351.04,6536.94,5428.4
Karnataka,2391.74,7575.83,11221.2,13238.86,13169.43,11363.08
Kerala,55.35,110.84,143.59,275.44,496.93,697.67
TamilNadu,2906.01,3554.5,4946.63,6115.48,7172.88,7505.74
Lakshadweep,1.58,1.11,0.66,0.45,0.3,0.09
Puducherry,1.17,2.58,4.14,6.39,12.24,10.2
AndamanandNicobar,13.16,13.86,11.6,24.82,21.51,19.49
Bihar,145.34,179.89,160.16,160.63,163.08,139.53
Jharkhand,19.47,19.15,17.47,17.16,18.21,16.76
Odisha,218.95,263.03,362.29,476.26,603.71,571.62
Sikkim,0,0,0,0,0,0
WestBengal,20.55,40.65,64.29,73.92,98.24,101.5
ArunachalPradesh,0.23,1.2,1.6,1.54,1.72,21.93
Assam,8.36,6.67,6.14,13.37,81.64,174.2
Manipur,0.15,1.88,2.63,7.71,6.72,6.93
Meghalaya,0,0,0,0,0.47,0
Mizoram,0,0.12,0.44,2.45,1.68,2.68
Nagaland,0,0,0,0,0,0
Tripura,6.71,7.14,3.43,6.04,6.18,5.49